"dataset","checkpoint_role","checkpoint_global_update","degree_stratum","diagnostic_batch_index","dominance_ratio","reconstruction_gradient_norm","weighted_latent_gradient_norm","median_root_in_degree","schedule_position","batch_hash"
"ogbn-arxiv","update_250","250","0","0","64.28222887127926","7.926769187604016e-05","0.005095503911273657","5.0","371","b9e4492aefb2bff6b2d952dc9fde5e702d1f337ca0cd762717ff945d3e709c14"
"ogbn-arxiv","update_250","250","0","1","63.864503785729646","7.61105452597909e-05","0.004860762205877864","5.5","631","c4b9f93add156bfb69dc565046b7184a19414026498e4be8aabcb5551d08ef52"
"ogbn-arxiv","update_250","250","0","2","49.663656294503916","9.501328861428101e-05","0.004718707309150154","6.0","25","d41040382f7085969a5b3f0c3b3948323f265ea34e44621d553e1bfd403bcd61"
"ogbn-arxiv","update_250","250","0","3","48.18645961194119","9.233991995055677e-05","0.004449533823267386","5.5","131","f4314b81911a4ad9ae960adc118c92a3307f7aaa28de51076e8796e139aa93a8"
"ogbn-arxiv","update_250","250","1","4","13.352100823136233","0.00033033880791584523","0.004410717069086999","6.0","293","653e018777b7c3f3d2f82bb1df041f197cca05c80333e82527442b731b01008c"
"ogbn-arxiv","update_250","250","1","5","15.722497146029864","0.00031700089307460077","0.0049840456366543285","6.0","264","6d7cdce94184cfab8419e408580ef7b8ba66cbd00af0b384a6e503c3bdc732ff"
"ogbn-arxiv","update_250","250","1","6","29.67227088718608","0.00015728811361027356","0.004667095514378537","6.0","316","9164e6eb153bdabeb345f5993afd724179bde1d2a56fbd195d55b4c5a1fa1404"
"ogbn-arxiv","update_250","250","1","7","31.748057011112795","0.00013619241880454943","0.004323844676688186","6.0","197","b433941497f45721fe1f6517e45b1bce1908e202f8308448fab8c579d9b771ab"
"ogbn-arxiv","update_250","250","2","8","16.64040804207461","0.0002780310042100792","0.004626549358403482","6.0","705","5d05e406464a5d327e072d4333f43d6d972d79726ebf9760ab10b2717bc0ec13"
"ogbn-arxiv","update_250","250","2","9","45.804764407445475","0.00010208283609996834","0.00467588025760292","6.0","518","843276b494437335f89ba2a0cf35344ea64f580dd24a5ee6052d9946fd46d5e4"
"ogbn-arxiv","update_250","250","2","10","27.744084012445555","0.00016201536622371273","0.00449496793181782","6.0","617","d32f3cbb57ef7b51b85dc36ce511f6570e2682ab0f7b192ac89bee0073bfa811"
"ogbn-arxiv","update_250","250","2","11","15.410684598744174","0.0002984584878344226","0.0045994496218344115","6.0","635","d6d95ec1c770ed4d6defc477043d9ffcd796fc034d08877ea9ae32026b8c190d"
"ogbn-arxiv","update_250","250","3","12","55.08025051957836","8.546957953683235e-05","0.004707685852691754","7.0","394","15b8f1f1797de0221de09ad1addfeee9cce6c7de92a763280c74ab9b00562efc"
"ogbn-arxiv","update_250","250","3","13","31.78257276970841","0.00014422654934017706","0.004583890799728118","7.0","436","51ee8dce9675487b773aa8ab5a4ac26c0c6e259f8bbd8ddf4444360382765b02"
"ogbn-arxiv","update_250","250","3","14","37.407784147888755","0.00012449936028048841","0.004657245195922745","7.0","322","9b9b083d6e190157f1a6fd71479c6cdab06f94e2cc284620530b411026339c05"
"ogbn-arxiv","update_250","250","3","15","13.364159556387923","0.0003405080606353881","0.00455060405256754","7.0","249","fccd3dff1026fb64bf19d0ad495b1714b31336936c9b781b4428167d13ddce3b"
"ogbn-arxiv","update_711","711","0","0","65.0011762853174","9.104317484227784e-05","0.005917913457497876","5.0","371","b9e4492aefb2bff6b2d952dc9fde5e702d1f337ca0cd762717ff945d3e709c14"
"ogbn-arxiv","update_711","711","0","1","66.77572857607557","9.237035296795773e-05","0.006168097618264642","5.5","631","c4b9f93add156bfb69dc565046b7184a19414026498e4be8aabcb5551d08ef52"
"ogbn-arxiv","update_711","711","0","2","51.89419024572947","0.00011657153544709784","0.0060493854377284915","6.0","25","d41040382f7085969a5b3f0c3b3948323f265ea34e44621d553e1bfd403bcd61"
