"method","weighting_strategy","overhead_mode","seed","validation_auc","gain_vs_original_lambda10_auc","training_wall_seconds","diagnostic_wall_seconds","total_gpu_time_seconds","peak_cuda_allocated_bytes","peak_cuda_reserved_bytes","additional_component_gradients","optimizer_updates"
"Original lambda=10","static","standard pretraining","0","0.7031058182392261","0.0","2679.7082372349996","NOT_AVAILABLE_FROM_FROZEN_LOGS","15760.550796745998","NOT_AVAILABLE_FROM_FROZEN_LOGS","NOT_AVAILABLE_FROM_FROZEN_LOGS","0","8532"
"Original lambda=10","static","standard pretraining","1","0.7043561978486697","0.0","2687.234168187999","NOT_AVAILABLE_FROM_FROZEN_LOGS","14548.093013466016","NOT_AVAILABLE_FROM_FROZEN_LOGS","NOT_AVAILABLE_FROM_FROZEN_LOGS","0","8532"
"Original lambda=10","static","standard pretraining","2","0.706161554220949","0.0","2677.9487108089997","NOT_AVAILABLE_FROM_FROZEN_LOGS","14834.790579626995","NOT_AVAILABLE_FROM_FROZEN_LOGS","NOT_AVAILABLE_FROM_FROZEN_LOGS","0","8532"
"Ours lambda=0.3","diagnostic-derived static","offline diagnostic plus standard pretraining","0","0.7102117532877995","0.007105935048573375","2674.149715771","NOT_AVAILABLE_FROM_FROZEN_LOGS","15510.383590206005","NOT_AVAILABLE_FROM_FROZEN_LOGS","NOT_AVAILABLE_FROM_FROZEN_LOGS","0","8532"
"Ours lambda=0.3","diagnostic-derived static","offline diagnostic plus standard pretraining","1","0.7106727216491738","0.006316523800504181","2680.0278293130013","NOT_AVAILABLE_FROM_FROZEN_LOGS","14600.401392759964","NOT_AVAILABLE_FROM_FROZEN_LOGS","NOT_AVAILABLE_FROM_FROZEN_LOGS","0","8532"
"Ours lambda=0.3","diagnostic-derived static","offline diagnostic plus standard pretraining","2","0.7103066963369217","0.004145142115972722","2646.0117010859976","NOT_AVAILABLE_FROM_FROZEN_LOGS","15298.296620866953","NOT_AVAILABLE_FROM_FROZEN_LOGS","NOT_AVAILABLE_FROM_FROZEN_LOGS","0","8532"
"Equal lambda=1","static","standard pretraining","0","0.710869325865142","0.007763507625915822","3150.6056060619885","76.63213614403503","16977.418253916054","3707153408","9741271040","0","8532"
"Equal lambda=1","static","standard pretraining","1","0.7109435324322751","0.0065873345836054975","3117.0816682599834","76.38292428397108","17071.691639719065","3706755584","6757023744","0","8532"
"Equal lambda=1","static","standard pretraining","2","0.7121736347796787","0.006012080558729704","3119.5951621690183","75.6383555450011","16929.065682342043","3704577024","4592762880","0","8532"
"GradNorm","dynamic","online throughout pretraining","0","0.709524729854613","0.00641891161538688","3282.0476977619983","76.13844034596696","17434.5096252801","3707992064","9741271040","8532","8532"
"GradNorm","dynamic","online throughout pretraining","1","0.711102426586553","0.006746228737883331","3275.112399544014","76.8982863969286","17149.448844912084","3705534976","6757023744","8532","8532"
"GradNorm","dynamic","online throughout pretraining","2","0.7112049541933909","0.005043399972441964","3272.0428150109947","76.63298962201225","17195.284876733902","3704245760","4460642304","8532","8532"
"CoV-Weighting","dynamic","online throughout pretraining","0","0.7116959271758416","0.008590108936615493","3274.0412474329933","78.38464127099724","17216.714617788937","3706646016","9741271040","0","8532"
"CoV-Weighting","dynamic","online throughout pretraining","1","0.7109299834178108","0.006573785569141122","3291.7544876870234","77.38372563698795","17260.673014987027","3704748032","6757023744","0","8532"
"CoV-Weighting","dynamic","online throughout pretraining","2","0.7121249243742407","0.005963370153291736","3262.5920735010004","76.88441782092559","17242.590352553932","3704402944","4460642304","0","8532"
"PCGrad@lambda=10","gradient surgery","online throughout pretraining","0","0.705143113776575","0.002037295537348882","3693.065866277","77.6337301620224","17662.794352726138","3706945024","9743368192","8532","8532"
"PCGrad@lambda=10","gradient surgery","online throughout pretraining","1","0.7051102302516129","0.0007540324029432499","3699.447493773012","78.1416459660395","17414.443108743057","3702749696","6759120896","8532","8532"
"PCGrad@lambda=10","gradient surgery","online throughout pretraining","2","0.7045775168770962","-0.0015840373438527067","3719.9280745669967","77.88368933799211","16971.65217626805","3702649856","4328521728","8532","8532"
"Uncertainty Weighting","dynamic","online throughout pretraining","0","0.7102634432203181","0.007157624981091959","3150.1200930410123","77.63352266402217","16952.904520167067","3707134976","9741271040","0","8532"
"Uncertainty Weighting","dynamic","online throughout pretraining","1","0.7093716968325955","0.005015498983925837","3137.22535149302","78.39926163497148","17208.372056768945","3704229376","6757023744","0","8532"
"Uncertainty Weighting","dynamic","online throughout pretraining","2","0.7099106238582155","0.003749069637266511","3127.0499530739908","77.88383608602453","17576.080543750984","3703360000","4460642304","0","8532"
